"player_id","player_name","club","nationality","Age","position","jersey_number","appearances","goals_scored","assists","dribbles_per_game","interceptions_per_game","tackles_per_game","challenges_won","save_percentage","clean_sheets"
1,"Emiliano Martinez","Aston Villa","Argentina",30,"GK",23,7,0,0,0.0,0.0,0.0,0.65,0.47,0.43
2,"Lionel Messi ","PSG","Argentina",35,"FW",10,7,7,3,3.78,0.0,0.65,6.39,0.0,0.0
3,"Nicolas Otamendi","Benfica","Argentina",34,"DF",19,7,0,1,0.33,1.17,1.3,7.17,0.0,0.0
4,"Rodrigo De Paul","Atletico Madrid","Argentina",28,"MF",7,7,0,0,0.6,1.05,1.79,4.64,0.0,0.0
5,"Nahuel Molina","Atletico Madrid","Argentina",24,"DF",26,7,1,1,0.32,0.47,1.42,1.58,0.0,0.0
6,"Alexis Mac Allister","Brighton","Argentina",24,"MF",20,6,1,1,0.97,0.49,1.46,5.85,0.0,0.0
7,"Cristian Romero","Tottenham","Argentina",24,"DF",13,7,0,0,0.16,0.49,0.82,5.09,0.0,0.0
8,"Enzo Fernandez","Benfica","Argentina",22,"MF",24,7,1,1,0.8,0.48,3.52,7.83,0.0,0.0
9,"Julian Alvarez","Manchester City","Argentina",23,"FW",9,7,4,0,0.58,0.0,0.77,1.93,0.0,0.0
10,"Marcos Acuna","Sevilla","Argentina",31,"DF",8,6,0,0,1.45,0.48,2.9,7.97,0.0,0.0
11,"Angel Di Maria","Juventus","Argentina",34,"FW",11,5,1,1,6.83,0.31,0.93,7.14,0.0,0.0
12,"Nicolas Tagliafico","Lyon","Argentina",30,"DF",3,6,0,0,0.48,2.17,1.69,5.07,0.0,0.0
13,"Lisandro Martinez","Manchester United","Argentina",25,"DF",25,5,0,0,0.3,0.9,1.5,4.19,0.0,0.0
14,"Lautaro Martinez","Inter","Argentina",25,"FW",22,6,0,0,1.89,0.38,0.0,6.81,0.0,0.0
15,"Leandro Paredes","Juventus","Argentina",28,"MF",5,5,0,0,0.4,1.21,4.02,9.24,0.0,0.0
16,"Alejandro Gomez","Sevilla","Argentina",21,"MF",17,2,0,0,0.83,0.83,1.65,8.26,0.0,0.0
17,"Gonzalo Montiel","Sevilla","Argentina",26,"DF",4,4,0,0,0.77,0.77,2.31,5.39,0.0,0.0
18,"Guido Rodriguez","Real Betis","Argentina",28,"MF",18,1,0,0,0.0,0.0,3.16,6.32,0.0,0.0
19,"German Pezzella","Real Betis","Argentina",31,"DF",6,3,0,0,0.0,0.0,0.0,3.16,0.0,0.0
20,"Exequiel Palacios","Bayer Leverkusen","Argentina",24,"MF",14,3,0,0,0.0,3.83,1.91,7.66,0.0,0.0
