"player_id","minutes_played","shots","shots_on_target","pass_completed","pass_attempt","pass_completed_percent","successful_tackles","interceptions","successful_dribbles","successful_dribbles_percent","fouls_commited","fouls_caused"
1,690,0.0,0,120,187,64.2,0,0,0,0.0,0,1
2,690,27.0,13,300,371,80.9,3,0,15,44.1,10,22
3,690,1.0,0,532,577,92.2,6,9,0,0.0,13,5
4,599,7.0,3,470,562,83.6,6,7,1,10.0,7,15
5,567,2.0,1,291,358,81.3,4,3,1,50.0,3,0
6,550,7.0,4,234,265,88.3,4,3,4,44.4,1,13
7,547,0.0,0,337,375,89.9,3,4,1,100.0,12,3
8,564,8.0,3,412,471,87.5,15,3,3,50.0,7,6
9,464,11.0,8,93,121,76.9,2,0,0,0.0,13,2
10,373,2.0,0,167,217,77.0,8,2,2,25.0,9,9
11,288,6.0,3,129,167,77.2,1,1,13,46.4,0,7
12,373,3.0,1,146,179,81.6,7,9,0,0.0,6,6
13,303,1.0,0,133,156,85.3,2,3,0,0.0,2,3
14,241,14.0,4,47,63,74.6,0,1,2,40.0,1,5
15,225,1.0,1,230,246,93.5,4,3,0,0.0,6,5
16,107,2.0,0,53,60,88.3,0,1,1,50.0,1,5
17,118,1.0,0,69,81,85.2,2,1,0,0.0,4,2
18,56,0.0,0,54,64,84.4,0,0,0,0.0,0,0
19,60,1.0,0,42,45,93.3,0,0,0,0.0,2,2
20,50,1.0,0,25,28,89.3,0,2,0,0.0,2,3
21,18,0.0,0,8,12,66.7,1,0,1,50.0,1,0
22,7,0.0,0,13,13,100.0,0,0,0,0.0,0,0
23,5,0.0,0,3,3,100.0,1,0,0,0.0,0,1
24,5,0.0,0,3,4,75.0,0,0,1,100.0,0,0
25,621,6.0,2,424,474,89.5,4,14,3,60.0,8,10
26,598,29.0,11,173,229,75.5,0,0,25,48.1,7,7
27,570,0.0,0,110,182,60.4,0,0,0,0.0,0,1
28,537,6.0,2,258,329,78.4,8,8,4,40.0,3,9
29,518,3.0,0,256,286,89.5,0,6,1,100.0,1,1
30,433,8.0,2,145,192,75.5,6,2,9,39.1,6,3
31,419,16.0,6,48,74,64.9,0,1,0,0.0,2,4
32,508,5.0,2,289,339,85.3,13,4,2,40.0,6,13
33,483,9.0,4,237,284,83.5,9,10,2,40.0,10,4
34,480,4.0,1,252,311,81.0,8,5,3,75.0,5,2
35,480,1.0,0,314,351,89.5,7,6,0,0.0,4,3
36,294,2.0,1,215,235,91.5,6,7,0,0.0,2,4
37,227,4.0,0,96,112,85.7,5,3,2,100.0,3,1
38,182,4.0,2,25,43,58.1,5,1,3,30.0,4,5
39,169,1.0,0,56,72,77.8,2,2,6,54.5,1,2
40,140,0.0,0,88,101,87.1,9,3,1,16.7,2,8
41,92,1.0,0,61,78,78.2,2,3,1,50.0,0,1
42,90,0.0,0,19,31,61.3,0,0,0,0.0,0,0
43,88,0.0,0,82,90,91.1,0,1,0,0.0,0,0
44,78,0.0,0,27,33,81.8,1,0,0,0.0,0,1
45,62,0.0,0,33,36,91.7,0,0,0,0.0,2,0
46,12,0.0,0,5,10,50.0,1,0,0,0.0,0,0
47,151,1.0,0,27,40,67.5,2,0,6,50.0,3,5
48,28,0.0,0,37,37,100.0,0,0,1,100.0,0,1
49,690,2.0,1,464,519,89.4,6,11,1,50.0,8,6
50,690,0.0,0,194,228,85.1,0,0,0,0.0,1,0
51,669,16.0,4,202,292,69.2,4,7,6,46.2,10,0
52,653,6.0,4,465,551,84.4,10,10,6,37.5,13,15
53,635,3.0,1,415,460,90.2,17,4,11,55.0,3,11
54,474,10.0,4,153,176,86.9,2,0,4,50.0,1,4
55,600,1.0,0,318,405,78.5,8,3,1,25.0,1,6
56,600,4.0,0,405,460,88.0,2,6,0,0.0,2,5
57,552,4.0,2,466,530,87.9,7,4,3,37.5,12,11
58,424,2.0,0,220,278,79.1,6,2,2,50.0,4,2
59,241,6.0,4,35,58,60.3,2,1,0,0.0,6,3
60,271,3.0,0,76,95,80.0,5,3,0,0.0,4,1
61,234,1.0,1,40,75,53.3,4,0,2,50.0,3,11
62,209,5.0,1,45,55,81.8,1,1,3,33.3,4,6
63,162,9.0,2,40,54,74.1,3,0,1,33.3,3,0
64,130,4.0,2,78,98,79.6,1,0,0,0.0,5,3
65,120,1.0,0,50,69,72.5,1,0,0,0.0,5,2
66,90,1.0,0,36,49,73.5,3,1,0,0.0,1,2
67,90,0.0,0,62,66,93.9,0,0,0,0.0,0,0
68,55,1.0,0,2,5,40.0,1,0,0,0.0,4,2
69,1,0.0,0,0,0,0.0,0,0,0,0.0,0,0
70,660,1.0,0,269,322,83.5,10,6,0,0.0,14,6
71,635,10.0,2,211,306,69.0,7,10,12,41.4,12,7
72,631,4.0,1,312,382,81.7,17,9,2,13.3,6,13
73,542,9.0,3,50,81,61.7,2,1,5,62.5,2,4
74,475,7.0,1,99,133,74.4,5,2,14,51.9,11,14
75,570,0.0,0,154,209,73.7,0,0,0,0.0,0,1
76,568,6.0,1,216,265,81.5,8,7,10,76.9,3,13
77,466,1.0,1,159,199,79.9,2,3,1,50.0,4,0
78,365,4.0,2,98,121,81.0,9,1,1,20.0,3,1
79,409,2.0,0,65,87,74.7,9,8,1,14.3,11,8
80,353,1.0,0,137,158,86.7,2,4,0,0.0,2,0
81,309,2.0,1,146,164,89.0,2,5,0,0.0,1,4
82,318,2.0,0,98,137,71.5,2,0,0,0.0,8,3
83,187,1.0,1,99,111,89.2,0,5,0,0.0,2,1
84,181,3.0,0,45,58,77.6,1,5,0,0.0,2,3
85,90,0.0,0,19,28,67.9,0,0,0,0.0,0,0
86,55,0.0,0,20,24,83.3,0,0,0,0.0,0,1
87,93,1.0,0,10,13,76.9,2,0,1,50.0,4,0
88,79,3.0,2,7,14,50.0,1,1,0,0.0,1,0
89,68,2.0,1,8,15,53.3,0,0,2,66.7,3,2
90,64,2.0,1,4,8,50.0,0,0,0,0.0,5,0
91,54,0.0,0,21,22,95.5,0,1,0,0.0,2,0
92,45,0.0,0,13,15,86.7,0,0,0,0.0,0,0
93,27,0.0,0,8,13,61.5,0,0,1,100.0,0,0
94,15,0.0,0,0,0,0.0,0,0,0,0.0,0,0
95,480,0.0,0,157,192,81.8,0,0,0,0.0,0,0
96,480,3.0,0,311,356,87.4,1,4,0,0.0,5,2
97,479,0.0,0,315,349,90.3,3,8,0,0.0,4,6
98,479,1.0,1,149,217,68.7,5,7,0,0.0,17,7
99,475,2.0,1,323,364,88.7,5,6,3,50.0,4,6
100,450,5.0,3,93,148,62.8,2,3,5,38.5,8,5
101,423,5.0,2,252,300,84.0,9,5,1,50.0,3,1
102,390,0.0,0,283,313,90.4,6,10,4,66.7,17,4
103,297,10.0,5,93,123,75.6,1,1,2,18.2,1,5
104,213,2.0,0,64,72,88.9,1,0,1,25.0,2,4
105,190,2.0,1,59,77,76.6,2,1,0,0.0,1,3
106,184,0.0,0,97,119,81.5,5,2,0,0.0,3,0
107,219,2.0,1,90,119,75.6,5,4,1,50.0,6,1
108,200,5.0,0,97,131,74.0,1,0,1,25.0,4,0
109,91,0.0,0,41,45,91.1,0,0,0,0.0,4,1
110,86,2.0,0,16,20,80.0,0,0,1,100.0,2,2
111,64,2.0,2,9,15,60.0,0,0,0,0.0,5,1
112,57,1.0,0,8,12,66.7,1,0,0,0.0,1,1
113,9,0.0,0,6,10,60.0,0,0,0,0.0,0,1
114,8,0.0,0,1,3,33.3,0,1,0,0.0,0,0
115,5,0.0,0,8,8,100.0,0,0,0,0.0,0,0
116,450,0.0,0,126,160,78.8,0,0,0,0.0,0,0
117,434,4.0,1,435,454,95.8,2,1,2,100.0,4,3
118,429,6.0,1,354,407,87.0,3,4,2,100.0,6,2
119,424,3.0,1,335,400,83.8,1,4,2,100.0,5,4
120,417,0.0,0,300,322,93.2,5,11,0,0.0,3,2
121,414,5.0,3,235,265,88.7,15,5,6,46.2,5,5
122,402,10.0,5,62,98,63.3,1,0,4,50.0,1,9
123,288,7.0,5,84,108,77.8,4,2,2,18.2,7,6
124,271,2.0,1,137,163,84.0,2,1,0,0.0,5,4
125,258,6.0,1,90,117,76.9,1,1,3,50.0,2,4
126,236,0.0,0,162,181,89.5,1,3,2,66.7,3,3
127,206,1.0,0,165,195,84.6,4,1,1,100.0,1,0
128,186,4.0,1,61,73,83.6,2,0,2,66.7,7,9
129,149,1.0,1,45,55,81.8,1,1,2,66.7,0,2
130,140,11.0,6,49,66,74.2,0,1,5,55.6,1,0
131,86,1.0,1,48,54,88.9,1,3,3,33.3,0,10
132,48,0.0,0,9,10,90.0,0,0,0,0.0,0,2
133,42,0.0,0,17,19,89.5,0,0,0,0.0,1,0
134,36,0.0,0,40,41,97.6,1,0,0,0.0,1,0
135,34,0.0,0,21,23,91.3,0,0,0,0.0,1,0
136,426,2.0,0,352,368,95.7,4,2,1,100.0,1,2
137,390,9.0,3,208,251,82.9,4,7,1,33.3,7,3
138,390,2.0,0,322,344,93.6,1,5,0,0.0,2,3
139,379,0.0,0,80,93,86.0,0,0,0,0.0,0,1
140,347,5.0,1,251,277,90.6,6,3,0,0.0,7,3
141,323,8.0,4,40,58,69.0,2,1,0,0.0,5,6
142,315,8.0,6,111,150,74.0,6,3,4,26.7,2,5
143,314,4.0,4,169,202,83.7,5,2,0,0.0,4,2
144,299,9.0,4,68,90,75.6,1,0,5,33.3,0,7
145,281,2.0,0,230,269,85.5,2,3,1,100.0,3,1
146,279,11.0,6,121,153,79.1,0,1,6,26.1,4,16
147,190,1.0,0,150,169,88.8,3,3,1,50.0,3,2
148,142,3.0,1,71,83,85.5,3,0,0,0.0,3,0
149,181,6.0,2,91,113,80.5,1,2,2,22.2,3,6
150,172,6.0,2,86,109,78.9,0,1,4,25.0,2,5
